Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Abad Nucleus Mall,Kochi (Cochin),69,4.159420289855072,3,13,53,0.043478260869565216,0.18840579710144928,0.7681159420289855,0.7246376811594203
Baijnath Temple,Baijnath,650,4.153846153846154,22,135,493,0.033846153846153845,0.2076923076923077,0.7584615384615384,0.7246153846153846
Thiruchendur Murugan Temple,Thiruchendur,196,4.224489795918367,10,34,152,0.05102040816326531,0.17346938775510204,0.7755102040816326,0.7244897959183674
Deeksha Bhoomi,Nagpur,214,4.257009345794392,9,41,164,0.04205607476635514,0.19158878504672897,0.7663551401869159,0.7242990654205608
Royal Opera House,Mumbai,58,4.448275862068965,4,8,46,0.06896551724137931,0.13793103448275862,0.7931034482758621,0.7241379310344828
Ohm Cine Garden,Sirsa,29,4.344827586206897,2,4,23,0.06896551724137931,0.13793103448275862,0.7931034482758621,0.7241379310344828
Overbury's Folly,Thalassery,29,4.344827586206897,2,4,23,0.06896551724137931,0.13793103448275862,0.7931034482758621,0.7241379310344828
Dumna Nature Reserve,Jabalpur,58,4.327586206896552,2,12,44,0.034482758620689655,0.20689655172413793,0.7586206896551724,0.7241379310344828
Kudupu Sri Anantha Padmanabha Temple,Mangalore,29,4.206896551724138,0,8,21,0.0,0.27586206896551724,0.7241379310344828,0.7241379310344828
Ramakrishna Math,Bhubaneswar,58,4.206896551724138,1,14,43,0.017241379310344827,0.2413793103448276,0.7413793103448276,0.7241379310344828
Dulhadev Temple,Khajuraho,58,4.172413793103448,3,10,45,0.05172413793103448,0.1724137931034483,0.7758620689655172,0.7241379310344828
Sao Jacinto Island,Panjim,29,4.172413793103448,0,8,21,0.0,0.27586206896551724,0.7241379310344828,0.7241379310344828
Kynrem Falls,Sohra,29,4.137931034482759,1,6,22,0.034482758620689655,0.20689655172413793,0.7586206896551724,0.7241379310344828
Hyderabad Central Mall,Hyderabad,58,4.086206896551724,5,6,47,0.08620689655172414,0.10344827586206896,0.8103448275862069,0.7241379310344827
Fort Aguada Lighthouse,Bardez,453,4.207505518763797,22,81,350,0.04856512141280353,0.17880794701986755,0.7726269315673289,0.7240618101545253
Sanchi Stupas,Sanchi,192,4.229166666666667,12,29,151,0.0625,0.15104166666666666,0.7864583333333334,0.7239583333333334
Ropeway from Joshimath to Auli,Joshimath,134,4.1716417910447765,6,25,103,0.04477611940298507,0.1865671641791045,0.7686567164179104,0.7238805970149254
Railway Museum Mysore,Mysuru (Mysore),380,4.2105263157894735,11,83,286,0.02894736842105263,0.21842105263157896,0.7526315789473684,0.7236842105263158
Tamhini Ghat,Pune,76,4.276315789473684,4,13,59,0.05263157894736842,0.17105263157894737,0.7763157894736842,0.7236842105263157
Ashtalakshmi Temple,Chennai,293,4.15358361774744,9,63,221,0.030716723549488054,0.2150170648464164,0.7542662116040956,0.7235494880546075
Basilica of Bom Jesus,Goa Velha,2087,4.200766650694777,64,449,1574,0.030666027791087687,0.21514135122184955,0.7541926209870627,0.723526593195975
Poombarai Village View,Kodaikanal,264,4.268939393939394,11,51,202,0.041666666666666664,0.19318181818181818,0.7651515151515151,0.7234848484848485
Lumbini Park,Hyderabad,886,4.214446952595937,44,157,685,0.04966139954853273,0.17720090293453725,0.7731376975169301,0.7234762979683973
Kote Betta,Madikeri,47,4.446808510638298,2,9,36,0.0425531914893617,0.19148936170212766,0.7659574468085106,0.723404255319149
Tilak Ali Museum,Ratnagiri,47,4.404255319148936,0,13,34,0.0,0.2765957446808511,0.723404255319149,0.723404255319149
Masila Falls,Ariyurnadu,47,4.382978723404255,3,7,37,0.06382978723404255,0.14893617021276595,0.7872340425531915,0.723404255319149
Vilangan Hills,Thrissur,47,4.319148936170213,2,9,36,0.0425531914893617,0.19148936170212766,0.7659574468085106,0.723404255319149
Bhimashankar Wildlife Sanctuary,Pune,47,4.23404255319149,2,9,36,0.0425531914893617,0.19148936170212766,0.7659574468085106,0.723404255319149
Chhattisgarh City Center Mall,Raipur,94,4.159574468085107,2,22,70,0.02127659574468085,0.23404255319148937,0.7446808510638298,0.7234042553191489
Pine View Nursery,Kalimpong,502,4.221115537848606,19,101,382,0.037848605577689244,0.20119521912350596,0.7609561752988048,0.7231075697211156
