City,total_reviews,total_places,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Tanuku,7,2,4.142857142857143,0,0,7,0.0,0.0,1.0,1.0
Airari,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Ambalappuzha,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Andhakaranazhy,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Balotra,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Bardoli,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Chettikulam,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Chimre,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Danapur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Dandi,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Dongargarh,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Etawah,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Galajwari,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Ganagapur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Garhwa,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Ghazipur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Hajipur,3,1,4.0,0,0,3,0.0,0.0,1.0,1.0
Indapur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Ivrem-Buzruco,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Kohri,3,1,4.0,0,0,3,0.0,0.0,1.0,1.0
Kolasib,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Kudli,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Madugula,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Mahadevapura,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Mangar,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Manjakuppam,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Mannady,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Mogra,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Nagar,2,2,4.0,0,0,2,0.0,0.0,1.0,1.0
Naya Raipur,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Perumpuliyur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Pottankadu,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Rajbalhat,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Ramanagaram,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Saiha,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Shrirampur,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Soraba,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Stakna,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Tanakpur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Teghoria,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Thirthahalli,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Tippi,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Todgarh,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Tuensang,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Valmiki National Park,2,1,4.0,0,0,2,0.0,0.0,1.0,1.0
Vembar,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Wahkhen,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Wandoor,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Yelandur,1,1,4.0,0,0,1,0.0,0.0,1.0,1.0
Simdega,1,1,3.0,0,0,1,0.0,0.0,1.0,1.0
Kuttikkanam,32,1,4.78125,0,1,31,0.0,0.03125,0.96875,0.96875
Assagao,29,1,4.862068965517241,0,1,28,0.0,0.034482758620689655,0.9655172413793104,0.9655172413793104
Bahraich,21,1,4.619047619047619,0,1,20,0.0,0.047619047619047616,0.9523809523809523,0.9523809523809523
Chandauli,40,4,4.75,0,2,38,0.0,0.05,0.95,0.95
Kohka,20,1,4.55,0,1,19,0.0,0.05,0.95,0.95
Rohet,60,2,4.516666666666667,0,3,57,0.0,0.05,0.95,0.95
Karad,20,3,4.45,0,1,19,0.0,0.05,0.95,0.95
Aluva,1302,5,4.804915514592934,10,47,1245,0.007680491551459293,0.03609831029185868,0.956221198156682,0.9485407066052227
Kakkanad,19,2,4.894736842105263,0,1,18,0.0,0.05263157894736842,0.9473684210526315,0.9473684210526315
Chinnakanal,38,3,4.7631578947368425,0,2,36,0.0,0.05263157894736842,0.9473684210526315,0.9473684210526315
Kattoor,19,1,4.7368421052631575,0,1,18,0.0,0.05263157894736842,0.9473684210526315,0.9473684210526315
Keonjhar,110,22,4.654545454545454,0,6,104,0.0,0.05454545454545454,0.9454545454545454,0.9454545454545454
Poicha,110,1,4.6454545454545455,2,2,106,0.01818181818181818,0.01818181818181818,0.9636363636363636,0.9454545454545454
Thergaon,18,1,4.666666666666667,0,1,17,0.0,0.05555555555555555,0.9444444444444444,0.9444444444444444
Aamby Valley City,17,1,4.588235294117647,0,1,16,0.0,0.058823529411764705,0.9411764705882353,0.9411764705882353
Sanvordem,32,1,4.78125,0,2,30,0.0,0.0625,0.9375,0.9375
Pantnagar,16,1,4.4375,0,1,15,0.0,0.0625,0.9375,0.9375
Dabolim,532,4,4.780075187969925,2,30,500,0.0037593984962406013,0.05639097744360902,0.9398496240601504,0.9360902255639098
Achrol,30,1,4.8,1,0,29,0.03333333333333333,0.0,0.9666666666666667,0.9333333333333333
Byndoor,15,3,4.6,0,1,14,0.0,0.06666666666666667,0.9333333333333333,0.9333333333333333
Bongaigaon,15,6,4.466666666666667,0,1,14,0.0,0.06666666666666667,0.9333333333333333,0.9333333333333333
Rajpura,15,1,4.333333333333333,0,1,14,0.0,0.06666666666666667,0.9333333333333333,0.9333333333333333
Nileshwar,182,6,4.8076923076923075,2,9,171,0.01098901098901099,0.04945054945054945,0.9395604395604396,0.9285714285714286
Chaukori,14,4,4.714285714285714,0,1,13,0.0,0.07142857142857142,0.9285714285714286,0.9285714285714286
Mira Bhayandar,27,4,4.518518518518518,0,2,25,0.0,0.07407407407407407,0.9259259259259259,0.9259259259259259
Someshwar,139,1,4.489208633093525,1,9,129,0.007194244604316547,0.06474820143884892,0.9280575539568345,0.920863309352518
Gotagodi,37,1,4.648648648648648,0,3,34,0.0,0.08108108108108109,0.918918918918919,0.918918918918919
Barddhaman,12,3,4.833333333333333,0,1,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666
Vellinezhi,12,1,4.75,0,1,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666
Ambur,12,2,4.5,0,1,11,0.0,0.08333333333333333,0.9166666666666666,0.9166666666666666
